Sample_i,Sample_j,Correlation
0,advice.txt,4794846993802.759765625
0,disaster.txt,3746586279974.8017578125
0,easy.txt,8898773431394.26953125
0,fail.txt,1006912997327.2720947265625
0,for.txt,12754763992413.48046875
0,give.txt,6476040198624.8125
0,idea.txt,5303608001713.55859375
0,is.txt,4677284670004.6552734375
0,lecture.txt,6049747690341.15234375
0,long.txt,5057707769566.4130859375
0,make.txt,4221910405082.740234375
0,method.txt,12010631341519.796875
0,mistake.txt,5006074311311.3798828125
0,no.txt,10317231015989.08203125
0,prepare.txt,6949690865118.0615234375
0,probable.txt,9922607269455.599609375
0,solution.txt,10309882948918.931640625
0,succeed.txt,3417587270861.49658203125
0,the.txt,13977788429970.638671875
0,time.txt,24413540047616.9453125
0,work.txt,10311398362535.88671875
1,advice.txt,6482532058650.03125
1,disaster.txt,8684114448051.6953125
1,easy.txt,55605197718186.3203125
1,fail.txt,8687870659558.0517578125
1,for.txt,17601247778144.5078125
1,give.txt,4891340524740.560546875
1,idea.txt,8836723337152.689453125
1,is.txt,3091085662229.73681640625
1,lecture.txt,19405134654644.4921875
1,long.txt,4277357314750.0927734375
1,make.txt,2457552733804.80517578125
1,method.txt,33728720835131.6484375
1,mistake.txt,6429954714945.97265625
1,no.txt,2374864486606.60498046875
1,prepare.txt,13676130814619.494140625
1,probable.txt,6571063006355.982421875
1,solution.txt,15796092323869.630859375
1,succeed.txt,2420163103070.416015625
1,the.txt,4221730222598.7734375
1,time.txt,51009005488672.71875
1,work.txt,3744480998127.17626953125
2,advice.txt,19957404265766.8203125
2,disaster.txt,2247136437105.9365234375
2,easy.txt,6008041703609.9482421875
2,fail.txt,5348515730039.984375
2,for.txt,6175999493425.4326171875
2,give.txt,31856153885785.921875
2,idea.txt,9535888777884.025390625
2,is.txt,17674664458377.65234375
2,lecture.txt,12414286959218.765625
2,long.txt,8490307374528.35546875
2,make.txt,24916419346751.6875
2,method.txt,8296934216701.2978515625
2,mistake.txt,36633654237944.3125
2,no.txt,16594905134479.07421875
2,prepare.txt,8975294341206.787109375
2,probable.txt,7102000450002.3916015625
2,solution.txt,26682369937457.9453125
2,succeed.txt,21667939118853.5703125
2,the.txt,22485371772687.328125
2,time.txt,6174374870467.58984375
2,work.txt,27805432388921.9375
3,advice.txt,0
3,disaster.txt,0
3,easy.txt,0
3,fail.txt,0
3,for.txt,0
3,give.txt,0
3,idea.txt,0
3,is.txt,0
3,lecture.txt,0
3,long.txt,0
3,make.txt,0
3,method.txt,0
3,mistake.txt,0
3,no.txt,0
3,prepare.txt,0
3,probable.txt,0
3,solution.txt,0
3,succeed.txt,0
3,the.txt,0
3,time.txt,0
3,work.txt,0
