,Signal 1,Signal 2,Signal 3,Signal 4,Signal 5,Signal 6,Signal 7,Signal 8,Signal 9,Signal 10,Signal 11,Signal 12,Signal 13,Signal 14,Signal 15,Signal 16,Signal 17,Signal 18
Signal 1,1.0000,-0.0119,0.0454,0.1257,0.0253,-0.0501,0.0723,-0.0865,-0.0409,0.0194,-0.0524,-0.0365,0.0145,0.0145,0.0188,0.0389,0.0433,0.0141
Signal 2,-0.0119,1.0000,-0.0166,0.0091,0.1043,0.0528,-0.0124,0.0013,0.0690,0.0125,0.0008,0.0096,0.0153,0.0153,0.0052,-0.0729,0.0135,0.0128
Signal 3,0.0454,-0.0166,1.0000,-0.0146,-0.0276,-0.0078,0.0799,0.0213,0.0080,-0.0312,-0.0276,0.0140,-0.0204,-0.0204,-0.0059,-0.0153,0.0007,0.0220
Signal 4,0.1257,0.0091,-0.0146,1.0000,0.0664,-0.0281,0.1038,0.0203,-0.0518,0.0292,-0.0477,-0.0648,0.0250,0.0250,0.1637,0.0501,0.0519,0.0271
Signal 5,0.0253,0.1043,-0.0276,0.0664,1.0000,-0.0107,0.0414,-0.0050,-0.0867,0.0382,0.0366,-0.0126,-0.0515,-0.0515,0.0026,-0.0250,-0.0297,0.0482
Signal 6,-0.0501,0.0528,-0.0078,-0.0281,-0.0107,1.0000,0.0065,-0.0251,-0.0196,0.0491,-0.1024,0.0101,-0.1006,-0.1006,-0.0874,-0.0906,-0.0036,-0.0671
Signal 7,0.0723,-0.0124,0.0799,0.1038,0.0414,0.0065,1.0000,-0.0463,0.0007,0.1415,-0.0794,0.0174,0.0064,0.0064,0.0243,-0.0095,0.0032,0.0247
Signal 8,-0.0865,0.0013,0.0213,0.0203,-0.0050,-0.0251,-0.0463,1.0000,-0.0095,0.0229,-0.0783,0.0406,-0.0090,-0.0090,0.1111,0.0159,0.0102,0.0563
Signal 9,-0.0409,0.0690,0.0080,-0.0518,-0.0867,-0.0196,0.0007,-0.0095,1.0000,0.0009,0.0579,0.0180,-0.0073,-0.0073,0.0593,0.0446,0.0386,-0.0002
Signal 10,0.0194,0.0125,-0.0312,0.0292,0.0382,0.0491,0.1415,0.0229,0.0009,1.0000,-0.1020,0.0111,-0.1155,-0.1155,-0.0284,-0.0033,-0.0104,0.0309
Signal 11,-0.0524,0.0008,-0.0276,-0.0477,0.0366,-0.1024,-0.0794,-0.0783,0.0579,-0.1020,1.0000,-0.0339,-0.0677,-0.0677,0.0095,-0.0132,-0.0733,-0.0241
Signal 12,-0.0365,0.0096,0.0140,-0.0648,-0.0126,0.0101,0.0174,0.0406,0.0180,0.0111,-0.0339,1.0000,0.0096,0.0096,-0.1082,0.0175,-0.0255,-0.0279
Signal 13,0.0145,0.0153,-0.0204,0.0250,-0.0515,-0.1006,0.0064,-0.0090,-0.0073,-0.1155,-0.0677,0.0096,1.0000,1.0000,0.0074,0.0142,-0.0608,-0.0426
Signal 14,0.0145,0.0153,-0.0204,0.0250,-0.0515,-0.1006,0.0064,-0.0090,-0.0073,-0.1155,-0.0677,0.0096,1.0000,1.0000,0.0074,0.0142,-0.0608,-0.0426
Signal 15,0.0188,0.0052,-0.0059,0.1637,0.0026,-0.0874,0.0243,0.1111,0.0593,-0.0284,0.0095,-0.1082,0.0074,0.0074,1.0000,-0.0075,-0.0144,-0.0167
Signal 16,0.0389,-0.0729,-0.0153,0.0501,-0.0250,-0.0906,-0.0095,0.0159,0.0446,-0.0033,-0.0132,0.0175,0.0142,0.0142,-0.0075,1.0000,0.0184,0.0974
Signal 17,0.0433,0.0135,0.0007,0.0519,-0.0297,-0.0036,0.0032,0.0102,0.0386,-0.0104,-0.0733,-0.0255,-0.0608,-0.0608,-0.0144,0.0184,1.0000,0.0118
Signal 18,0.0141,0.0128,0.0220,0.0271,0.0482,-0.0671,0.0247,0.0563,-0.0002,0.0309,-0.0241,-0.0279,-0.0426,-0.0426,-0.0167,0.0974,0.0118,1.0000
